([1.01, 1.005, 1.005], [10.0, 5.0, 5.0], [0.0, -1.1268169970906192e-13, 1.1268169970906192e-13])
([1.02, 1.0099999999999998, 1.0099999999999998], [10.0, 5.0, 5.0], [0.0, -1.1267614915984225e-13, 1.1267614915984225e-13])
([1.03, 1.0149999999999997, 1.0149999999999997], [10.0, 5.0, 5.0], [0.0, -1.1265982401507844e-13, 1.1265982401507844e-13])
([1.04, 1.0199999999999996, 1.0199999999999996], [10.0, 5.0, 5.0], [0.0, -1.1263319737526408e-13, 1.1263319737526408e-13])
([1.05, 1.0249999999999995, 1.0249999999999995], [10.0, 5.0, 5.0], [0.0, -1.1259672105166452e-13, 1.1259672105166452e-13])
([1.06, 1.0299999999999994, 1.0299999999999994], [10.0, 5.0, 5.0], [0.0, -1.1255082665481225e-13, 1.1255082665481225e-13])
([1.07, 1.0349999999999993, 1.0349999999999993], [10.0, 5.0, 5.0], [0.0, -1.1249592661923211e-13, 1.1249592661923211e-13])
([1.08, 1.0399999999999991, 1.0399999999999991], [10.0, 5.0, 5.0], [0.0, -1.1243241516864294e-13, 1.1243241516864294e-13])
([1.09, 1.044999999999999, 1.044999999999999], [10.0, 5.0, 5.0], [0.0, -1.123606692255605e-13, 1.123606692255605e-13])
([1.1, 1.049999999999999, 1.049999999999999], [10.0, 5.0, 5.0], [0.0, -1.1228104926893948e-13, 1.1228104926893948e-13])
([1.11, 1.0549999999999988, 1.0549999999999988], [10.0, 5.0, 5.0], [0.0, -1.1219390014322208e-13, 1.1219390014322208e-13])
([1.12, 1.0599999999999987, 1.0599999999999987], [10.0, 5.0, 5.0], [0.0, -1.1209955182191829e-13, 1.1209955182191829e-13])
([1.1300000000000001, 1.0649999999999986, 1.0649999999999986], [10.0, 5.0, 5.0], [0.0, -1.1199832012861644e-13, 1.1199832012861644e-13])
([1.1400000000000001, 1.0699999999999985, 1.0699999999999985], [10.0, 5.0, 5.0], [0.0, -1.1189050741811403e-13, 1.1189050741811403e-13])
([1.1500000000000001, 1.0749999999999984, 1.0749999999999984], [10.0, 5.0, 5.0], [0.0, -1.1177640322017156e-13, 1.1177640322017156e-13])
([1.1600000000000001, 1.0799999999999983, 1.0799999999999983], [10.0, 5.0, 5.0], [0.0, -1.116562848482113e-13, 1.116562848482113e-13])
([1.1700000000000002, 1.0849999999999982, 1.0849999999999982], [10.0, 5.0, 5.0], [0.0, -1.1153041797512547e-13, 1.1153041797512547e-13])
([1.1800000000000002, 1.089999999999998, 1.089999999999998], [10.0, 5.0, 5.0], [0.0, -1.1139905717820562e-13, 1.1139905717820562e-13])
([1.1900000000000002, 1.094999999999998, 1.094999999999998], [10.0, 5.0, 5.0], [0.0, -1.1126244645506851e-13, 1.1126244645506851e-13])
([1.2000000000000002, 1.0999999999999979, 1.0999999999999979], [10.0, 5.0, 5.0], [0.0, -1.1112081971232501e-13, 1.1112081971232501e-13])
([1.2100000000000002, 1.1049999999999978, 1.1049999999999978], [10.0, 5.0, 5.0], [0.0, -1.1097440122862199e-13, 1.1097440122862199e-13])
([1.2200000000000002, 1.1099999999999977, 1.1099999999999977], [10.0, 5.0, 5.0], [0.0, -1.108234060935769e-13, 1.108234060935769e-13])
